area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,3329,3.0,2.0,225.0,Kasba Peth
Carpet  Area,Ready To Move,1 BHK,GrrvaGr,785,1.0,1.0,55.0,Katraj
Super built-up  Area,Ready To Move,3 BHK,GonumPl,2900,4.0,2.0,225.0,Khadaki
Built-up  Area,Ready To Move,3 BHK,Avlya A,1610,3.0,2.0,74.0,Khadki
Super built-up  Area,Ready To Move,2 BHK,Krine O,921,2.0,2.0,40.0,Kharadi
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,850,3.0,2.0,95.0,Kondhwa
Built-up  Area,Ready To Move,5 Bedroom,GrrvaGr,2700,4.5,0.0,158.0,Kondhwa Budruk
Super built-up  Area,Ready To Move,3 BHK,SocusHi,1700,3.0,3.0,110.0,Kondhwa Khurd
Built-up  Area,Ready To Move,2 BHK,Sondaka,1020,2.0,2.0,35.0,Koregaon Park
Super built-up  Area,Ready To Move,2 BHK,Dintsmi,1090,2.0,3.0,52.0,Kothrud
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,3600,4.0,2.0,225.0,Law College Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1027,2.0,2.0,44.0,Laxmi Road
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2.0,2.0,42.1,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,Prianhi,850,2.0,1.0,25.0,Mahatma Gandhi Road
Built-up  Area,Ready To Move,2 BHK,Prncyrn,1197,2.0,1.0,84.0,Mangalwar peth
Super built-up  Area,Ready To Move,4 BHK,ETntsce,3500,3.0,3.0,225.0,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,920,2.0,2.0,39.55,Market yard
Super built-up  Area,Ready To Move,9 BHK,GrrvaGr,716Sq. Meter,4.5,1.0,225.0,Model colony
Super built-up  Area,Ready To Move,2 BHK,i1rtsCo,1105,2.0,1.0,65.0,Mukund Nagar
Super built-up  Area,Ready To Move,3 BHK,GoandAc,1850,3.0,3.0,100.0,Mundhawa
Super built-up  Area,20-Dec,3 BHK,PrarePa,1300,3.0,1.0,64.0,Nagar Road
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1595,3.0,2.0,76.0,Nana Peth
Super built-up  Area,19-Dec,4 BHK,Priesla,3073,4.5,2.0,225.0,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,755,2.0,1.0,37.49,Narayangaon
Built-up  Area,Ready To Move,5 Bedroom,GrrvaGr,4050,4.5,2.0,140.0,Navi Peth
Super built-up  Area,21-Dec,3 BHK,GrrvaGr,1300,2.0,3.0,69.0,Padmavati
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1215,2.0,0.0,50.0,Parvati Darshan
Super built-up  Area,20-Oct,2 BHK,PrarePa,900,2.0,1.0,46.0,Pashan
Super built-up  Area,18-Oct,2 BHK,GrrvaGr,1145,2.0,3.0,58.4,Paud Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1093,2.0,2.0,65.0,Pirangut
Super built-up  Area,17-Nov,3 BHK,GrrvaGr,1213,2.0,2.0,41.39,Prabhat Road
Super built-up  Area,Ready To Move,3 BHK,PrliaRe,1654,3.0,2.0,100.0,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1105,2.0,1.0,52.48,Rasta Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1611,2.0,2.0,66.0,Raviwar Peth
Built-up  Area,Ready To Move,2 BHK,Hoens T,1367,2.0,2.0,62.0,Sadashiv Peth
Super built-up  Area,Ready To Move,2 BHK,Brntsal,1010,2.0,1.0,51.0,Sahakar Nagar
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,750,2.0,1.0,75.0,Salunke Vihar
Carpet  Area,Ready To Move,3 BHK,SVon hn,1535,3.0,1.0,95.0,Sasson Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,620,2.0,1.0,22.0,Satara Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,982,2.0,1.0,47.65,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1700,2.0,2.0,150.0,Shaniwar Peth
Super built-up  Area,18-Dec,2 BHK,BSlasin,1330,2.0,1.0,71.0,Shivaji Nagar
Built-up  Area,Ready To Move,3 Bedroom,Ronty C,2500,3.0,2.0,135.0,Shukrawar Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1475,2.0,2.0,58.99,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,BSisear,1410,3.0,1.0,65.0,Somwar Peth
Super built-up  Area,Ready To Move,1 BHK,GrrvaGr,440,1.0,1.0,16.5,Swargate
Super built-up  Area,Ready To Move,3 BHK,PuziaVe,1614,3.0,2.0,95.0,Tilak Road
Super built-up  Area,Ready To Move,2 BHK,GeereEc,1363,2.0,2.0,68.0,Uruli Devachi
Built-up  Area,Ready To Move,2 Bedroom,GrrvaGr,650,2.0,0.0,28.0,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1015,2.0,1.0,45.0,Wadgaon Sheri
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1156,2.0,2.0,46.0,Viman Nagar
Super built-up  Area,19-Mar,2 BHK,GrrvaGr,1100,2.0,1.0,62.7,Vishrant Wadi
Super built-up  Area,18-Jan,3 BHK,GrrvaGr,1455,3.0,2.0,46.0,Wagholi
Super built-up  Area,Ready To Move,2 BHK,Ravashw,930,2.0,1.0,45.0,Wakadewadi
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1650,2.0,2.0,80.0,Wanowrie
Built-up  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,2.0,0.0,90.0,Warje
Plot  Area,Ready To Move,1 Bedroom,GrrvaGr,700,1.0,0.0,150.0,Yerawada
Super built-up  Area,Ready To Move,4 BHK,AjityIn,2900,3.0,2.0,135.0,Alandi Road
Super built-up  Area,18-Mar,3 BHK,Alestrb,1890,4.0,3.0,127.0,Ambegaon Budruk
Super built-up  Area,Ready To Move,3 BHK,Vaour S,2197,4.0,3.0,225.0,Anandnagar
Super built-up  Area,Ready To Move,3 BHK,GonumPl,3522,3.0,2.0,225.0,Aundh
Super built-up  Area,18-Apr,3 BHK,GrrvaGr,1240,2.0,2.0,46.0,Aundh Road
Built-up  Area,Ready To Move,2 BHK,Vaaveeh,1440,2.0,2.0,98.0,Balaji Nagar
Super built-up  Area,Ready To Move,1 BHK,GrrvaGr,650,1.0,2.0,38.0,Baner
Super built-up  Area,19-Jun,1 BHK,Brstaue,764,1.0,1.0,32.0,Baner road
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,900,4.0,0.0,90.0,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,Bhavani Peth
Built-up  Area,Ready To Move,3 BHK,Macanr ,1445,3.0,2.0,65.0,Bibvewadi
Super built-up  Area,21-Oct,2 BHK,PrarePa,900,1.0,0.0,45.0,Bopodi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1030,2.0,2.0,55.0,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,1381,2.0,2.0,52.48,Bund Garden Road
Built-up  Area,Ready To Move,2 BHK,Krtiqa ,1100,2.0,1.0,60.0,Camp
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1575,3.0,2.0,66.39,Chandan Nagar
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,2.0,1.0,65.0,Dapodi
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2.0,2.0,43.2,Deccan Gymkhana
Super built-up  Area,Ready To Move,2 BHK,GradeMR,1080,2.0,2.0,80.0,Dehu Road
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,2280,4.5,2.0,200.0,Dhankawadi
Super built-up  Area,18-Mar,3 BHK,GrrvaGr,1360,2.0,2.0,85.0,Dhayari Phata
Super built-up  Area,19-Dec,3 BHK,Ceezey ,1865,3.0,1.0,124.0,Dhole Patil Road
Super built-up  Area,18-Nov,3 BHK,AsastDe,1157,2.0,1.0,75.0,Erandwane
Super built-up  Area,Ready To Move,2 BHK,Icingpy,674,2.0,1.0,29.0,Fatima Nagar
Super built-up  Area,Ready To Move,3 BHK,AdndeBe,1405,2.0,1.0,78.0,Fergusson College Road
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1160,2.0,2.0,44.08,Ganesh Peth
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1600,3.0,1.0,172.0,Ganeshkhind
Super built-up  Area,21-Mar,3 BHK,Oztarol,1790,3.0,2.0,127.0,Ghorpade Peth
Super built-up  Area,18-May,2 BHK,Prarkun,1128,2.0,1.0,65.65,Ghorpadi
Super built-up  Area,Ready To Move,2 BHK,Arentpa,1180,2.0,1.0,70.0,Gokhale Nagar
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1450,2.0,2.0,85.0,Gultekdi
Built-up  Area,18-Mar,1 BHK,GrrvaGr,340,1.0,1.0,10.0,Guruwar peth
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,2000,3.0,1.0,166.0,Hadapsar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1050,2.0,2.0,53.5,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,2 BHK,Pethaai,1125,2.0,2.0,40.0,Hingne Khurd
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1246,2.0,1.0,68.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,SrisePo,1372,2.0,1.0,61.0,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1330,2.0,1.0,56.0,Karve Nagar
Super built-up  Area,19-Dec,3 BHK,She 2rk,2465,4.5,2.0,225.0,Karve Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1300,2.0,3.0,55.0,Kasba Peth
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1420,1.0,0.0,220.0,Katraj
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,810,4.0,1.0,50.0,Khadaki
Super built-up  Area,Ready To Move,2 BHK,Unm 2El,1065,2.0,1.0,35.0,Khadki
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,700,2.0,0.0,27.0,Kharadi
Carpet  Area,18-Mar,2 BHK,Arcia S,547.34 - 827.31,2.0,0.0,42.72,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,Viiniai,1050,2.0,1.0,45.0,Kondhwa Budruk
Super built-up  Area,18-Apr,3 BHK,GrrvaGr,1250,3.0,3.0,39.5,Kondhwa Khurd
Built-up  Area,Ready To Move,2 BHK,Palleon,865,2.0,0.0,42.0,Koregaon Park
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,2.0,44.0,Kothrud
Built-up  Area,Ready To Move,3 BHK,NRnoral,1756,3.0,3.0,100.0,Law College Road
Plot  Area,Ready To Move,9 Bedroom,GrrvaGr,750,4.5,2.0,150.0,Laxmi Road
Super built-up  Area,Ready To Move,1 BHK,Ardanru,628,1.0,1.0,24.0,Lulla Nagar
Plot  Area,Ready To Move,7 Bedroom,GrrvaGr,1200,4.5,2.0,195.0,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1207,2.0,2.0,63.0,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,KlarkBe,1765,3.0,1.0,125.0,Manik Bagh
Built-up  Area,18-Dec,2 BHK,GrrvaGr,1130,2.0,1.0,32.64,Market yard
Super built-up  Area,18-Jun,3 BHK,Ozana U,1532,3.0,3.0,92.0,Model colony
Built-up  Area,Ready To Move,3 BHK,DSncele,1650,3.0,0.0,110.0,Mukund Nagar
Built-up  Area,18-May,4 Bedroom,GrrvaGr,1200,4.0,2.0,105.0,Mundhawa
Carpet  Area,18-Dec,2 BHK,Rosha I,804.1,2.0,1.0,69.09,Nagar Road
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,1200,2.0,2.0,75.0,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1197,2.0,2.0,50.0,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,Paarklu,1200,2.0,2.0,66.0,Narayangaon
Super built-up  Area,Ready To Move,3 BHK,Shony S,1385,2.0,2.0,48.48,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,Cearkry,1010,2.0,3.0,148.0,Padmavati
Super built-up  Area,Ready To Move,3 BHK,UKe 2nz,2225,3.0,3.0,115.0,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,Niimet ,1180,2.0,2.0,48.0,Pashan
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1525,2.0,3.0,122.0,Paud Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1100,2.0,2.0,31.5,Pirangut
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1435,3.0,3.0,70.0,Prabhat Road
Built-up  Area,Ready To Move,1 BHK,Jae 2hu,400,1.0,1.0,14.0,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,Asene S,1200,2.0,2.0,50.0,Rasta Peth
Super built-up  Area,21-Mar,2 BHK,PritaDo,1272,2.0,1.0,95.05,Raviwar Peth
Super built-up  Area,Ready To Move,2 BHK,SSthamh,1205,2.0,1.0,39.0,Sadashiv Peth
Built-up  Area,Ready To Move,2 BHK,ARomee ,980,2.0,1.0,40.0,Sahakar Nagar
Super built-up  Area,18-May,2 BHK,GrrvaGr,1225,2.0,2.0,46.86,Salunke Vihar
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1541,3.0,1.0,72.0,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,DNeremo,1610,2.0,2.0,111.0,Satara Road
Super built-up  Area,Ready To Move,2 BHK,Tahtsla,1694,2.0,2.0,125.0,Senapati Bapat Road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,600,3.0,2.0,75.0,Shaniwar Peth
Super built-up  Area,Ready To Move,2 BHK,Baowsig,950,2.0,1.0,39.0,Shivaji Nagar
Super built-up  Area,Ready To Move,3 BHK,Laderav,1560,2.0,3.0,66.0,Shukrawar Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1201,2.0,2.0,27.0,Sinhagad Road
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1500,2.0,1.0,60.0,Somwar Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1785,3.0,2.0,75.0,Swargate
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1258,2.0,1.0,63.53,Tilak Road
Super built-up  Area,Ready To Move,2 BHK,CoapeSo,910,2.0,2.0,42.0,Uruli Devachi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1297,2.0,2.0,112.0,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Vangsld,1291,2.0,3.0,49.0,Wadgaon Sheri
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1070,2.0,2.0,42.0,Viman Nagar
Super built-up  Area,Ready To Move,2 BHK,Soamsay,1012,2.0,1.0,66.5,Vishrant Wadi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1260,2.0,3.0,57.6,Wagholi
Super built-up  Area,Ready To Move,2 BHK,Maantr ,1282,2.0,2.0,72.0,Wakadewadi
Super built-up  Area,Ready To Move,3 BHK,Puestol,1843,3.0,2.0,92.15,Wanowrie
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,2400,3.0,2.0,200.0,Warje
Built-up  Area,Ready To Move,5 Bedroom,Theanmp,3356,4.5,2.0,105.0,Yerawada
Super built-up  Area,19-Mar,4 BHK,Raard B,2790,4.5,3.0,198.0,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,BrontLa,1330,2.0,1.0,86.98,Ambegaon Budruk
Super built-up  Area,Ready To Move,3 BHK,A rtsai,1400,2.0,1.0,73.0,Anandnagar
Built-up  Area,18-Dec,2 BHK,GrrvaGr,1192,2.0,1.0,71.0,Aundh
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1000,2.0,1.0,130.0,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,Prtanha,1297,2.0,2.0,103.0,Balaji Nagar
Super built-up  Area,19-Jul,1 BHK,Sasta S,580 - 650,1.0,0.0,17.835,Baner
Super built-up  Area,21-Jun,3 BHK,Saahaat,1490,3.0,2.0,100.0,Baner road
Super built-up  Area,Ready To Move,3 BHK,MJeusyl,1373,3.0,2.0,72.0,Bhandarkar Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1035,2.0,1.0,41.39,Bhavani Peth
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,3750,4.0,0.0,210.0,Bibvewadi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1010,2.0,1.0,40.39,Bopodi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1195,2.0,1.0,42.0,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,Klort C,1750,3.0,2.0,95.0,Bund Garden Road
Super built-up  Area,Ready To Move,2 BHK,A idse ,1052,2.0,2.0,50.0,Camp
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1180,2.0,2.0,58.0,Chandan Nagar
Built-up  Area,Ready To Move,5 Bedroom,GrrvaGr,3680,4.0,2.0,225.0,Dapodi
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,2100,3.0,2.0,73.0,Deccan Gymkhana
Built-up  Area,18-Mar,4 Bedroom,GrrvaGr,2863,4.0,1.0,140.0,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1128,2.0,2.0,38.24,Dhankawadi
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,2700,3.0,1.0,225.0,Dhayari Phata
Super built-up  Area,18-Jul,2 BHK,DSvvyx ,1120,2.0,2.0,33.6,Dhole Patil Road
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,2424,3.0,2.0,90.0,Erandwane
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1300,2.0,1.0,60.0,Fatima Nagar
Super built-up  Area,Ready To Move,2 BHK,SPavenc,1090,2.0,2.0,32.69,Fergusson College Road
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,2710,3.0,1.0,225.0,Ganesh Peth
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,3040,1.0,1.0,180.0,Ganeshkhind
Super built-up  Area,Ready To Move,3 BHK,SLnssPr,1330,2.0,2.0,46.55,Ghorpade Peth
Super built-up  Area,18-Jul,3 BHK,PuendWe,1427,2.0,1.0,80.63,Ghorpadi
Super built-up  Area,18-Aug,3 BHK,GrrvaGr,1294,2.0,2.0,48.0,Gokhale Nagar
Built-up  Area,Ready To Move,3 BHK,Vantspa,1580,3.0,2.0,75.0,Gultekdi
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,400,4.5,1.0,200.0,Guruwar peth
Plot  Area,Ready To Move,3 Bedroom,FiriaVi,1808,4.0,2.0,80.27,Hadapsar
Super built-up  Area,Ready To Move,4 BHK,PhestOn,3516,4.0,3.0,225.0,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,2 BHK,Peide L,1194,2.0,2.0,47.0,Hingne Khurd
Super built-up  Area,21-Dec,2 BHK,PrarePa,900,2.0,1.0,46.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1310,2.0,3.0,50.0,Kalyani Nagar
Super built-up  Area,21-Oct,2 BHK,PrarePa,900,2.0,1.0,46.0,Karve Nagar
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,3850,4.5,3.0,195.0,Karve Road
Plot  Area,Ready To Move,7 Bedroom,GrrvaGr,925,4.5,3.0,88.0,Kasba Peth
Super built-up  Area,16-Dec,2 BHK,GrrvaGr,2400,1.0,1.0,150.0,Katraj
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1290,2.0,3.0,100.0,Khadaki
Built-up  Area,Ready To Move,6 Bedroom,GrrvaGr,3770,4.5,3.0,110.0,Khadki
Super built-up  Area,Ready To Move,3 BHK,Cemesti,1390,3.0,1.0,120.0,Kharadi
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,2.0,72.0,Kondhwa
Built-up  Area,Ready To Move,2 BHK,Prityel,845,2.0,1.0,33.0,Kondhwa Budruk
Super built-up  Area,Ready To Move,3 BHK,Niareum,1537,3.0,3.0,120.0,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1135,2.0,2.0,68.0,Koregaon Park
Super built-up  Area,19-Dec,3 BHK,Caycend,1512,3.0,2.0,75.77,Kothrud
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,900,2.0,1.0,55.0,Law College Road
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1230,3.0,3.0,54.0,Laxmi Road
Super built-up  Area,18-Apr,3 BHK,MNtha A,1378,2.0,3.0,42.33,Lulla Nagar
Super built-up  Area,17-Oct,2 BHK,Asarqz ,1277,2.0,1.0,61.3,Mahatma Gandhi Road
Super built-up  Area,19-Jun,3 BHK,Raard B,1985,4.0,2.0,189.0,Mangalwar peth
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,8000,4.5,2.0,225.0,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,SVmesVi,1210,2.0,2.0,62.0,Market yard
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,890,2.0,2.0,40.0,Model colony
Plot  Area,Ready To Move,9 Bedroom,GrrvaGr,2550,4.5,0.0,225.0,Mukund Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.5,2.0,110.0,Mundhawa
Built-up  Area,Ready To Move,4 BHK,AWharde,3198,4.0,3.0,200.0,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1464,3.0,2.0,56.0,Nana Peth
Super built-up  Area,Ready To Move,4 BHK,Prersis,2483,4.5,2.0,215.0,Narayan Peth
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1550,4.0,2.0,130.0,Narayangaon
Super built-up  Area,Ready To Move,4 BHK,Vaunei ,4111,4.0,1.0,225.0,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,SNncypa,975,2.0,2.0,37.5,Padmavati
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,2500,3.0,1.0,225.0,Parvati Darshan
Super built-up  Area,Ready To Move,3 BHK,PuoodSk,1690,3.0,1.0,125.0,Pashan
Super built-up  Area,18-May,2 BHK,SStusan,1063,2.0,1.0,31.89,Paud Road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,2572,3.0,3.0,225.0,Pirangut
Carpet  Area,Ready To Move,3 BHK,GrrvaGr,2200,4.0,2.0,225.0,Prabhat Road
Built-up  Area,Ready To Move,3 BHK,InockHo,1600,3.0,0.0,80.0,Pune Railway Station
Super built-up  Area,18-May,3 BHK,GrrvaGr,1250,3.0,1.0,39.5,Rasta Peth
Super built-up  Area,Ready To Move,1 BHK,Prtusth,520,1.0,0.0,19.5,Raviwar Peth
Super built-up  Area,Ready To Move,4 BHK,PueraRi,4000,4.5,2.0,212.0,Sadashiv Peth
Built-up  Area,Ready To Move,3 BHK,Keids O,1390,3.0,2.0,68.0,Sahakar Nagar
Super built-up  Area,18-May,2 BHK,SSdhimr,1185,2.0,2.0,40.0,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,KVersuj,1219,2.0,2.0,48.0,Sasson Road
Super built-up  Area,18-Dec,3 BHK,Sanzaat,1564,2.0,1.0,92.0,Satara Road
Super built-up  Area,Ready To Move,4 BHK,DSndsod,3425 - 3435,4.5,0.0,225.0,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,Sancei ,1100,2.0,2.0,37.1,Shaniwar Peth
Built-up  Area,Ready To Move,3 BHK,Esale O,1300,2.0,0.0,60.0,Shivaji Nagar
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1600,2.0,0.0,80.0,Shukrawar Peth
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,1600,3.0,2.0,75.0,Sinhagad Road
Super built-up  Area,19-Mar,3 BHK,Puachal,1482,2.0,1.0,92.0,Somwar Peth
Plot  Area,18-May,3 Bedroom,MGave E,1000,4.0,3.0,66.0,Swargate
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,3.0,53.0,Tilak Road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,600,3.0,2.0,75.0,Uruli Devachi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,0.0,58.0,Vadgaon Budruk
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,600,4.0,0.0,60.0,Wadgaon Sheri
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,2400,3.0,0.0,160.0,Viman Nagar
Super built-up  Area,19-Dec,3 BHK,PrensKe,1469,3.0,1.0,89.0,Vishrant Wadi
Super built-up  Area,22-Mar,1 BHK,GrrvaGr,551,1.0,1.0,30.0,Wagholi
Super built-up  Area,19-Dec,2 BHK,GrrvaGr,1160,2.0,1.0,52.0,Wakadewadi
Super built-up  Area,Ready To Move,2 BHK,Soresea,1205,2.0,1.0,78.5,Wanowrie
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1550,2.0,3.0,52.0,Warje
Super built-up  Area,Ready To Move,3 BHK,MauilTr,1745,3.0,2.0,125.0,Yerawada
Super built-up  Area,Ready To Move,2 BHK,Kamesar,1028,2.0,1.0,42.0,Alandi Road
Super built-up  Area,Ready To Move,3 BHK,CaaveEn,1700,3.0,1.0,180.0,Ambegaon Budruk
Super built-up  Area,Ready To Move,3 BHK,NadriNe,1200,2.0,1.0,34.0,Anandnagar
Super built-up  Area,Ready To Move,3 BHK,Soianal,2700,4.0,1.0,225.0,Aundh
Built-up  Area,Ready To Move,2 BHK,BSarknd,1100,2.0,2.0,50.0,Aundh Road
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,3.0,1.0,72.0,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Dural C,1269.72,2.0,2.0,68.0,Baner
Super built-up  Area,Ready To Move,2 BHK,SJmesst,1266,2.0,2.0,59.0,Baner road
Super built-up  Area,Ready To Move,2 BHK,Srkha S,1060,2.0,1.0,62.0,Bhandarkar Road
Plot  Area,Ready To Move,3 Bedroom,Copust ,1168,3.0,0.0,70.0,Bhavani Peth
Super built-up  Area,Ready To Move,2 BHK,Sancya ,1552,2.0,1.0,51.0,Bibvewadi
Super built-up  Area,18-May,3 BHK,Sodgere,1804 - 2273,3.0,0.0,120.0,Bopodi
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,500,1.0,1.0,17.0,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1080,2.0,2.0,43.2,Bund Garden Road
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,2100,4.0,2.0,155.0,Camp
Super built-up  Area,Ready To Move,2 BHK,Shntsan,1300,2.0,2.0,65.0,Chandan Nagar
Built-up  Area,Ready To Move,2 BHK,SNavenc,920,2.0,2.0,33.0,Dapodi
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,817,2.0,1.0,120.0,Deccan Gymkhana
Built-up  Area,Ready To Move,2 BHK,SrEndPo,1310,2.0,1.0,50.0,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1650,2.0,1.0,75.0,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,DSidePr,1515,3.0,3.0,93.93,Dhayari Phata
Super built-up  Area,18-Dec,2 BHK,Prllsan,1157,2.0,1.0,53.8,Dhole Patil Road
